node	Location	genotype
JN851121	South-eastern Asia	Cosmopolitan
FJ196853	Eastern Asia	Cosmopolitan
FJ196854	Eastern Asia	Cosmopolitan
KF479233	Eastern Asia	Cosmopolitan
JQ955624	Southern Asia	Cosmopolitan
n323	Southern Asia	Cosmopolitan
n324	Southern Asia	Cosmopolitan
n108	Caribbean	AsianAmerican
FJ898450	Caribbean	AsianAmerican
n129	South America	AsianAmerican
n130	South America	AsianAmerican
n133	South America	AsianAmerican
EU569708	Caribbean	AsianAmerican
n142	Caribbean	AsianAmerican
EU482575	Caribbean	AsianAmerican
n11	South America	AsianAmerican
EU920828	South America	AsianAmerican
n94	Caribbean	AsianAmerican
n74	Caribbean	AsianAmerican
n76	Caribbean	AsianAmerican
EU677142	Caribbean	AsianAmerican
EU482546	Caribbean	AsianAmerican
n98	South America	AsianAmerican
n99	South America	AsianAmerican
FJ639702	South-eastern Asia	AsianAmerican
FJ639697	South-eastern Asia	AsianAmerican
n162	South-eastern Asia	AsianAmerican
FM210218	South-eastern Asia	AsianAmerican
n165	South-eastern Asia	AsianAmerican
EU482449	South-eastern Asia	AsianAmerican
n170	South-eastern Asia	AsianAmerican
FM210237	South-eastern Asia	AsianAmerican
n174	South-eastern Asia	AsianAmerican
FM210217	South-eastern Asia	AsianAmerican
n195	South-eastern Asia	AsianI
AF100461	South-eastern Asia	AsianI
AF169680	South-eastern Asia	AsianI
AF169679	South-eastern Asia	AsianI
n278	South-eastern Asia	AsianI
n280	South-eastern Asia	AsianI
n282	South-eastern Asia	AsianI
EU687246	South-eastern Asia	AsianI
n306	South-eastern Asia	Cosmopolitan
n308	South-eastern Asia	Cosmopolitan
JN851128	South-eastern Asia	Cosmopolitan
JN851129	South-eastern Asia	Cosmopolitan
n301	South-eastern Asia	Cosmopolitan
JX470186	Eastern Asia	Cosmopolitan
JN851130	South-eastern Asia	Cosmopolitan
AY858035	South-eastern Asia	Cosmopolitan
FJ898454	Southern Asia	Cosmopolitan
DQ448231	Southern Asia	Cosmopolitan
n325	Southern Asia	Cosmopolitan
n326	Southern Asia	Cosmopolitan
n109	Caribbean	AsianAmerican
n110	Caribbean	AsianAmerican
AF100466	South America	AsianAmerican
GQ868595	South America	AsianAmerican
n131	South America	AsianAmerican
GQ868552	South America	AsianAmerican
n134	South America	AsianAmerican
n135	South America	AsianAmerican
n143	Caribbean	AsianAmerican
n144	Caribbean	AsianAmerican
n12	Central America	AsianAmerican
n54	South America	AsianAmerican
n58	South America	AsianAmerican
EU677145	Caribbean	AsianAmerican
FJ898460	Caribbean	AsianAmerican
n75	Caribbean	AsianAmerican
EU920833	South America	AsianAmerican
n77	Caribbean	AsianAmerican
EU482726	Caribbean	AsianAmerican
EU920835	South America	AsianAmerican
EU920834	South America	AsianAmerican
JN819419	South America	AsianAmerican
n101	South America	AsianAmerican
FJ850085	South America	AsianAmerican
n163	South-eastern Asia	AsianAmerican
FM210220	South-eastern Asia	AsianAmerican
FM210221	South-eastern Asia	AsianAmerican
FM210241	South-eastern Asia	AsianAmerican
n171	South-eastern Asia	AsianAmerican
FM210235	South-eastern Asia	AsianAmerican
FM210222	South-eastern Asia	AsianAmerican
FM210234	South-eastern Asia	AsianAmerican
n196	South-eastern Asia	AsianI
FJ906957	South-eastern Asia	AsianI
n279	South-eastern Asia	AsianI
AF100460	South-eastern Asia	AsianI
FJ639828	South-eastern Asia	AsianI
FJ687434	South-eastern Asia	AsianI
n283	South-eastern Asia	AsianI
DQ181798	South-eastern Asia	AsianI
n307	South-eastern Asia	Cosmopolitan
HM488257	Oceania	Cosmopolitan
JN851127	South-eastern Asia	Cosmopolitan
JN851126	South-eastern Asia	Cosmopolitan
EU482640	South-eastern Asia	Cosmopolitan
EU179859	South-eastern Asia	Cosmopolitan
KJ010185	Southern Asia	Cosmopolitan
KJ010186	Southern Asia	Cosmopolitan
n327	Southern Asia	Cosmopolitan
KJ830750	Western Asia	Cosmopolitan
GQ398269	Caribbean	AsianAmerican
GQ398282	Caribbean	AsianAmerican
n111	Caribbean	AsianAmerican
GQ398270	Caribbean	AsianAmerican
FJ898465	South America	AsianAmerican
EU687220	South America	AsianAmerican
JX669488	South America	AsianAmerican
AF489932	South America	AsianAmerican
JX669483	South America	AsianAmerican
n137	South America	AsianAmerican
n138	South America	AsianAmerican
EU482744	Caribbean	AsianAmerican
EU482590	Caribbean	AsianAmerican
n145	Caribbean	AsianAmerican
n150	Caribbean	AsianAmerican
n48	Central America	AsianAmerican
n14	Central America	AsianAmerican
n36	Central America	AsianAmerican
n55	South America	AsianAmerican
n56	South America	AsianAmerican
n59	South America	AsianAmerican
n69	South America	AsianAmerican
AF208496	Caribbean	AsianAmerican
AY702039	Caribbean	AsianAmerican
n78	Caribbean	AsianAmerican
EU920849	Caribbean	AsianAmerican
EU920840	South America	AsianAmerican
FJ850088	South America	AsianAmerican
FM210202	South-eastern Asia	AsianAmerican
EU482664	South-eastern Asia	AsianAmerican
FM210208	South-eastern Asia	AsianAmerican
FM210236	South-eastern Asia	AsianAmerican
n197	South-eastern Asia	AsianI
n204	South-eastern Asia	AsianI
AF100464	South-eastern Asia	AsianI
GQ868544	South-eastern Asia	AsianI
FJ639831	South-eastern Asia	AsianI
FJ196851	Eastern Asia	AsianI
KC131142	Eastern Asia	Cosmopolitan
EU179858	South-eastern Asia	Cosmopolitan
KF041233	Southern Asia	Cosmopolitan
KF360005	Southern Asia	Cosmopolitan
n112	Caribbean	AsianAmerican
n114	Caribbean	AsianAmerican
JX669484	South America	AsianAmerican
KC294201	South America	AsianAmerican
n139	South America	AsianAmerican
JX669486	South America	AsianAmerican
EU482740	Caribbean	AsianAmerican
EU482587	Caribbean	AsianAmerican
n148	Caribbean	AsianAmerican
EU482588	Caribbean	AsianAmerican
GQ398285	Caribbean	AsianAmerican
n154	Caribbean	AsianAmerican
n152	Caribbean	AsianAmerican
n153	Caribbean	AsianAmerican
n49	Central America	AsianAmerican
FJ898461	Central America	AsianAmerican
n15	Central America	AsianAmerican
n32	Central America	AsianAmerican
n40	Central America	AsianAmerican
n38	Central America	AsianAmerican
KJ189370	Central America	AsianAmerican
KJ189305	South America	AsianAmerican
EU482607	South America	AsianAmerican
n57	South America	AsianAmerican
GQ868553	South America	AsianAmerican
n65	South America	AsianAmerican
FJ639732	South America	AsianAmerican
n62	South America	AsianAmerican
FJ024473	South America	AsianAmerican
n70	South America	AsianAmerican
GQ868555	South America	AsianAmerican
n79	Caribbean	AsianAmerican
FJ898451	Caribbean	AsianAmerican
n198	South-eastern Asia	AsianI
GQ868620	South-eastern Asia	AsianI
n272	South-eastern Asia	AsianI
n206	South-eastern Asia	AsianI
FJ810411	South-eastern Asia	AsianI
n113	Caribbean	AsianAmerican
EU569714	Caribbean	AsianAmerican
EU482728	Caribbean	AsianAmerican
n116	Caribbean	AsianAmerican
n117	Caribbean	AsianAmerican
KC294222	South America	AsianAmerican
FJ850072	South America	AsianAmerican
GQ398291	Caribbean	AsianAmerican
GQ398286	Caribbean	AsianAmerican
GQ398308	Caribbean	AsianAmerican
GQ398314	Caribbean	AsianAmerican
GQ398297	Caribbean	AsianAmerican
GQ398296	Caribbean	AsianAmerican
EU482561	Caribbean	AsianAmerican
GQ398302	Caribbean	AsianAmerican
FJ898438	Central America	AsianAmerican
n51	Central America	AsianAmerican
FJ898439	Central America	AsianAmerican
n29	Central America	AsianAmerican
n17	Central America	AsianAmerican
FJ873808	Central America	AsianAmerican
n33	Central America	AsianAmerican
FJ850065	Central America	AsianAmerican
n41	Central America	AsianAmerican
GQ868604	Central America	AsianAmerican
EU482634	Central America	AsianAmerican
EU482603	Central America	AsianAmerican
EU482693	Central America	AsianAmerican
JN819408	South America	AsianAmerican
FJ898466	South America	AsianAmerican
n66	South America	AsianAmerican
FJ639733	South America	AsianAmerican
n63	South America	AsianAmerican
JN819407	South America	AsianAmerican
GQ868558	South America	AsianAmerican
GU131947	South America	AsianAmerican
EU687216	Caribbean	AsianAmerican
n81	South America	AsianAmerican
FJ898453	Caribbean	AsianAmerican
n199	South-eastern Asia	AsianI
FJ687442	South-eastern Asia	AsianI
n273	South-eastern Asia	AsianI
FJ639704	South-eastern Asia	AsianI
n207	South-eastern Asia	AsianI
n268	South-eastern Asia	AsianI
EU677144	Caribbean	AsianAmerican
EU482554	Caribbean	AsianAmerican
EU569719	Caribbean	AsianAmerican
EU482729	Caribbean	AsianAmerican
n118	Caribbean	AsianAmerican
EU482565	Caribbean	AsianAmerican
n52	Central America	AsianAmerican
GQ868515	Central America	AsianAmerican
n30	Central America	AsianAmerican
GQ199898	Central America	AsianAmerican
n18	Central America	AsianAmerican
n21	Central America	AsianAmerican
n34	Central America	AsianAmerican
GU369819	Central America	AsianAmerican
EU482687	Central America	AsianAmerican
n43	Central America	AsianAmerican
EU596500	Central America	AsianAmerican
n67	South America	AsianAmerican
HQ332189	South America	AsianAmerican
n64	South America	AsianAmerican
FJ850108	South America	AsianAmerican
n82	South America	AsianAmerican
EU920842	South America	AsianAmerican
n200	South-eastern Asia	AsianI
n202	South-eastern Asia	AsianI
GU131927	South-eastern Asia	AsianI
FJ639710	South-eastern Asia	AsianI
n208	South-eastern Asia	AsianI
n210	South-eastern Asia	AsianI
n269	South-eastern Asia	AsianI
GU131924	South-eastern Asia	AsianI
n119	Caribbean	AsianAmerican
EU677143	Caribbean	AsianAmerican
GU131959	Central America	AsianAmerican
GQ868497	Central America	AsianAmerican
n31	Central America	AsianAmerican
FJ850061	Central America	AsianAmerican
n19	Central America	AsianAmerican
FJ744704	Central America	AsianAmerican
n22	Central America	AsianAmerican
FJ882594	Central America	AsianAmerican
n35	Central America	AsianAmerican
KJ189308	Central America	AsianAmerican
n44	Central America	AsianAmerican
n45	Central America	AsianAmerican
FJ850106	South America	AsianAmerican
GQ868641	South America	AsianAmerican
EU482605	South America	AsianAmerican
HQ332186	South America	AsianAmerican
HQ332188	South America	AsianAmerican
n92	South America	AsianAmerican
n84	South America	AsianAmerican
GQ199892	Caribbean	AsianAmerican
n201	South-eastern Asia	AsianI
GQ868638	South-eastern Asia	AsianI
n203	South-eastern Asia	AsianI
GQ868622	South-eastern Asia	AsianI
n209	South-eastern Asia	AsianI
FJ744724	South-eastern Asia	AsianI
n266	South-eastern Asia	AsianI
n212	South-eastern Asia	AsianI
n259	South-eastern Asia	AsianI
EU482468	South-eastern Asia	AsianI
EU482784	South-eastern Asia	AsianI
GU131932	South-eastern Asia	AsianI
n271	South-eastern Asia	AsianI
FJ639718	South-eastern Asia	AsianI
EU677146	Caribbean	AsianAmerican
n121	Caribbean	AsianAmerican
n124	Caribbean	AsianAmerican
n125	Caribbean	AsianAmerican
FJ850121	Central America	AsianAmerican
GQ199897	Central America	AsianAmerican
n20	Central America	AsianAmerican
FJ850066	Central America	AsianAmerican
FJ906956	Central America	AsianAmerican
n24	Central America	AsianAmerican
EU482762	Central America	AsianAmerican
KJ189309	Central America	AsianAmerican
GQ199894	Central America	AsianAmerican
JF357906	Central America	AsianAmerican
FJ205885	Central America	AsianAmerican
n46	Central America	AsianAmerican
JN819424	Central America	AsianAmerican
n93	South America	AsianAmerican
GQ199890	South America	AsianAmerican
JX669476	South America	AsianAmerican
n91	South America	AsianAmerican
n88	South America	AsianAmerican
JX669477	South America	AsianAmerican
JX567950	South America	AsianAmerican
JF730047	South-eastern Asia	AsianI
JN368476	South-eastern Asia	AsianI
FJ639706	South-eastern Asia	AsianI
GQ868623	South-eastern Asia	AsianI
EU687249	South-eastern Asia	AsianI
FJ639707	South-eastern Asia	AsianI
n267	South-eastern Asia	AsianI
FM210214	South-eastern Asia	AsianI
n213	South-eastern Asia	AsianI
n253	South-eastern Asia	AsianI
n260	South-eastern Asia	AsianI
EU660413	South-eastern Asia	AsianI
KF955402	South-eastern Asia	AsianI
GQ868631	South-eastern Asia	AsianI
n122	Caribbean	AsianAmerican
EU482556	Caribbean	AsianAmerican
EU596490	Caribbean	AsianAmerican
EU529706	Caribbean	AsianAmerican
n126	Caribbean	AsianAmerican
EU482721	Caribbean	AsianAmerican
FJ744744	Central America	AsianAmerican
FJ850120	Central America	AsianAmerican
EU482444	Central America	AsianAmerican
FJ906961	Central America	AsianAmerican
FJ744741	Central America	AsianAmerican
FJ410291	Central America	AsianAmerican
EU482635	Central America	AsianAmerican
EU482639	Central America	AsianAmerican
n47	Central America	AsianAmerican
HQ705625	Central America	AsianAmerican
EU920850	Caribbean	AsianAmerican
EU920846	South America	AsianAmerican
HM181971	South America	AsianAmerican
GU131881	South America	AsianAmerican
n89	South America	AsianAmerican
JX669478	South America	AsianAmerican
EU482649	South-eastern Asia	AsianI
EU482669	South-eastern Asia	AsianI
n214	South-eastern Asia	AsianI
n250	South-eastern Asia	AsianI
n254	South-eastern Asia	AsianI
FJ410221	South-eastern Asia	AsianI
n261	South-eastern Asia	AsianI
EU482776	South-eastern Asia	AsianI
KF955364	Caribbean	AsianAmerican
EU482552	Caribbean	AsianAmerican
EU482551	Caribbean	AsianAmerican
EU596489	Caribbean	AsianAmerican
FJ744708	Central America	AsianAmerican
FJ850050	Central America	AsianAmerican
JX286520	South America	AsianAmerican
KC294211	South America	AsianAmerican
JX286525	South America	AsianAmerican
n215	South-eastern Asia	AsianI
n249	South-eastern Asia	AsianI
n251	South-eastern Asia	AsianI
EU482705	South-eastern Asia	AsianI
n255	South-eastern Asia	AsianI
EU482661	South-eastern Asia	AsianI
n262	South-eastern Asia	AsianI
FM210211	South-eastern Asia	AsianI
n216	South-eastern Asia	AsianI
n222	South-eastern Asia	AsianI
FJ024461	South-eastern Asia	AsianI
EU482676	South-eastern Asia	AsianI
n252	South-eastern Asia	AsianI
EU482464	South-eastern Asia	AsianI
n256	South-eastern Asia	AsianI
EU482451	South-eastern Asia	AsianI
n263	South-eastern Asia	AsianI
n264	South-eastern Asia	AsianI
n217	South-eastern Asia	AsianI
EU482670	South-eastern Asia	AsianI
n243	South-eastern Asia	AsianI
n224	South-eastern Asia	AsianI
n238	South-eastern Asia	AsianI
EU482658	South-eastern Asia	AsianI
EU482659	South-eastern Asia	AsianI
FJ410215	South-eastern Asia	AsianI
FJ410224	South-eastern Asia	AsianI
EU482469	South-eastern Asia	AsianI
FJ410259	South-eastern Asia	AsianI
n265	South-eastern Asia	AsianI
EU482541	South-eastern Asia	AsianI
n218	South-eastern Asia	AsianI
EU482656	South-eastern Asia	AsianI
FM210207	South-eastern Asia	AsianI
FM210246	South-eastern Asia	AsianI
n246	South-eastern Asia	AsianI
EU482642	South-eastern Asia	AsianI
n225	South-eastern Asia	AsianI
n233	South-eastern Asia	AsianI
n236	South-eastern Asia	AsianI
n237	South-eastern Asia	AsianI
n239	South-eastern Asia	AsianI
n240	South-eastern Asia	AsianI
FJ432726	South-eastern Asia	AsianI
FJ410228	South-eastern Asia	AsianI
n219	South-eastern Asia	AsianI
EU482474	South-eastern Asia	AsianI
FJ410217	South-eastern Asia	AsianI
n247	South-eastern Asia	AsianI
n248	South-eastern Asia	AsianI
EU677148	South-eastern Asia	AsianI
n227	South-eastern Asia	AsianI
n231	South-eastern Asia	AsianI
n234	South-eastern Asia	AsianI
FJ461309	South-eastern Asia	AsianI
EU482654	South-eastern Asia	AsianI
FJ547067	South-eastern Asia	AsianI
EU482645	South-eastern Asia	AsianI
FJ410223	South-eastern Asia	AsianI
EU482467	South-eastern Asia	AsianI
EU482679	South-eastern Asia	AsianI
n241	South-eastern Asia	AsianI
n242	South-eastern Asia	AsianI
n220	South-eastern Asia	AsianI
EU482699	South-eastern Asia	AsianI
FJ024452	South-eastern Asia	AsianI
FM210206	South-eastern Asia	AsianI
FJ410195	South-eastern Asia	AsianI
FJ205877	South-eastern Asia	AsianI
n228	South-eastern Asia	AsianI
FJ461311	South-eastern Asia	AsianI
FJ859028	South-eastern Asia	AsianI
FJ024454	South-eastern Asia	AsianI
FJ410241	South-eastern Asia	AsianI
JF730049	South-eastern Asia	AsianI
FJ410202	South-eastern Asia	AsianI
FJ205879	South-eastern Asia	AsianI
FJ390385	South-eastern Asia	AsianI
GU131899	South-eastern Asia	AsianI
FJ562098	South-eastern Asia	AsianI
EU482701	South-eastern Asia	AsianI
FJ547064	South-eastern Asia	AsianI
n230	South-eastern Asia	AsianI
FJ390387	South-eastern Asia	AsianI
EU482652	South-eastern Asia	AsianI
FJ410237	South-eastern Asia	AsianI
