accession	id	country_code	serotype	genotype	year	Country ISO3	Continent	Country	Sub-region	Region	Int-region	Is Developed	Location
JQ922553	DENV2_JQ922553_American_IN_1980	IN	DENV2	American	1980	IND	Asia	India	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
M84728	DENV2_M84728__Asian_I_TH_1984	TH	DENV2	AsianI	1984	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JN819407	DENV2_JN819407_AsianAmerican_VE_2007	VE	DENV2	AsianAmerican	2007	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
HQ332189	DENV2_HQ332189_AsianAmerican_VE_2007	VE	DENV2	AsianAmerican	2007	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482728	DENV2_EU482728_AsianAmerican_PR_1998	PR	DENV2	AsianAmerican	1998	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
FJ461311	DENV2_FJ461311_Asian_I_VN_2008	VN	DENV2	AsianI	2008	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ639710	DENV2_FJ639710_Asian_I_KH_2005	KH	DENV2	AsianI	2005	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ398286	DENV2_GQ398286_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
FJ639732	DENV2_FJ639732_AsianAmerican_VE_2005	VE	DENV2	AsianAmerican	2005	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ898451	DENV2_FJ898451_AsianAmerican_DO_2003	DO	DENV2	AsianAmerican	2003	DOM	Americas	Dominican Republic	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
FM210234	DENV2_FM210234_AsianAmerican_VN_2004	VN	DENV2	AsianAmerican	2004	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ898454	DENV2_FJ898454_Cosmopolitan_IN_2006	IN	DENV2	Cosmopolitan	2006	IND	Asia	India	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
JX669486	DENV2_JX669486_AsianAmerican_BR_1999	BR	DENV2	AsianAmerican	1999	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ639701	DENV2_FJ639701_AsianAmerican_KH_2002	KH	DENV2	AsianAmerican	2002	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ398314	DENV2_GQ398314_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU920842	DENV2_EU920842_AsianAmerican_SR_2005	SR	DENV2	AsianAmerican	2005	SUR	Americas	Suriname	Latin America and the Caribbean	Americas	South America	Developing	South America
JN851127	DENV2_JN851127_Cosmopolitan_SG_2004	SG	DENV2	Cosmopolitan	2004	SGP	Asia	Singapore	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ898466	DENV2_FJ898466_AsianAmerican_VE_2000	VE	DENV2	AsianAmerican	2000	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
GQ868623	DENV2_GQ868623_Asian_I_KH_2005	KH	DENV2	AsianI	2005	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF489932	DENV2_AF489932_AsianAmerican_BR_1998	BR	DENV2	AsianAmerican	1998	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ024454	DENV2_FJ024454_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210208	DENV2_FM210208_AsianAmerican_VN_2003	VN	DENV2	AsianAmerican	2003	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
KC294211	DENV2_KC294211_AsianAmerican_PE_2011	PE	DENV2	AsianAmerican	2011	PER	Americas	Peru	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ024473	DENV2_FJ024473_AsianAmerican_CO_2005	CO	DENV2	AsianAmerican	2005	COL	Americas	Colombia	Latin America and the Caribbean	Americas	South America	Developing	South America
JF260983	DENV2_JF260983_Sylvatic_ES_2009	ES	DENV2	Sylvatic	2009	ESP	Europe	Spain	Southern Europe	Europe	Southern Europe	Developed	Europe
JF730047	DENV2_JF730047_Asian_I_KH_2008	KH	DENV2	AsianI	2008	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EF105378	DENV2_EF105378_Sylvatic_GN_1981	GN	DENV2	Sylvatic	1981	GIN	Africa	Guinea	Sub-Saharan Africa	Africa	Western Africa	Developing	Africa
FJ850108	DENV2_FJ850108_AsianAmerican_VE_2008	VE	DENV2	AsianAmerican	2008	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482552	DENV2_EU482552_AsianAmerican_PR_2006	PR	DENV2	AsianAmerican	2006	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
GU131881	DENV2_GU131881_AsianAmerican_BR_2008	BR	DENV2	AsianAmerican	2008	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
FM210207	DENV2_FM210207_Asian_I_VN_2005	VN	DENV2	AsianI	2005	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482642	DENV2_EU482642_Asian_I_VN_2006	VN	DENV2	AsianI	2006	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JX470186	DENV2_JX470186_Cosmopolitan_CN_2010	CN	DENV2	Cosmopolitan	2010	CHN	Asia	China	Eastern Asia	Asia	Eastern Asia	Developing	Eastern Asia
JX649148	DENV2_JX649148_AsianAmerican_VN_1995	VN	DENV2	AsianAmerican	1995	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482449	DENV2_EU482449_AsianAmerican_VN_2006	VN	DENV2	AsianAmerican	2006	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ850121	DENV2_FJ850121_AsianAmerican_NI_2001	NI	DENV2	AsianAmerican	2001	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ850066	DENV2_FJ850066_AsianAmerican_NI_2000	NI	DENV2	AsianAmerican	2000	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ850050	DENV2_FJ850050_AsianAmerican_NI_2007	NI	DENV2	AsianAmerican	2007	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ410202	DENV2_FJ410202_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EF105387	DENV2_EF105387_Sylvatic_NG_1966	NG	DENV2	Sylvatic	1966	NGA	Africa	Nigeria	Sub-Saharan Africa	Africa	Western Africa	Developing	Africa
GU369819	DENV2_GU369819_AsianAmerican_MX_2002	MX	DENV2	AsianAmerican	2002	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
GQ868595	DENV2_GQ868595_AsianAmerican_VE_1991	VE	DENV2	AsianAmerican	1991	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
JN368476	DENV2_JN368476_Asian_I_KH_2007	KH	DENV2	AsianI	2007	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU660413	DENV2_EU660413_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210246	DENV2_FM210246_Asian_I_VN_2005	VN	DENV2	AsianI	2005	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU687249	DENV2_EU687249_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
HQ332186	DENV2_HQ332186_AsianAmerican_VE_2007	VE	DENV2	AsianAmerican	2007	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482467	DENV2_EU482467_Asian_I_VN_2006	VN	DENV2	AsianI	2006	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU677145	DENV2_EU677145_AsianAmerican_PR_1999	PR	DENV2	AsianAmerican	1999	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU920834	DENV2_EU920834_AsianAmerican_GF_2001	GF	DENV2	AsianAmerican	2001	GUF	Americas	French Guiana	Latin America and the Caribbean	Americas	South America	Developing	South America
HM488257	DENV2_HM488257_Cosmopolitan_GU_2001	GU	DENV2	Cosmopolitan	2001	GUM	Oceania	Guam	Micronesia	Oceania	Micronesia	Developing	Oceania
AJ487271	DENV2_AJ487271_Asian_I_TH_1974	TH	DENV2	AsianI	1974	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
DQ181803	DENV2_DQ181803_Asian_I_TH_1985	TH	DENV2	AsianI	1985	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ639702	DENV2_FJ639702_AsianAmerican_KH_2003	KH	DENV2	AsianAmerican	2003	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ196851	DENV2_FJ196851_Asian_I_CN_1998	CN	DENV2	AsianI	1998	CHN	Asia	China	Eastern Asia	Asia	Eastern Asia	Developing	Eastern Asia
FM210236	DENV2_FM210236_AsianAmerican_VN_2004	VN	DENV2	AsianAmerican	2004	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
HM582115	DENV2_HM582115_American_TO_1974	TO	DENV2	American	1974	TON	Oceania	Tonga	Polynesia	Oceania	Polynesia	Developing	Oceania
GQ868497	DENV2_GQ868497_AsianAmerican_MX_2006	MX	DENV2	AsianAmerican	2006	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
EU482575	DENV2_EU482575_AsianAmerican_PR_1987	PR	DENV2	AsianAmerican	1987	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
FJ898439	DENV2_FJ898439_AsianAmerican_MX_2008	MX	DENV2	AsianAmerican	2008	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
EU726767	DENV2_EU726767_Asian_I_TH_1994	TH	DENV2	AsianI	1994	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ898461	DENV2_FJ898461_AsianAmerican_BZ_2002	BZ	DENV2	AsianAmerican	2002	BLZ	Americas	Belize	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ410241	DENV2_FJ410241_Asian_I_VN_2008	VN	DENV2	AsianI	2008	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ810411	DENV2_FJ810411_Asian_I_TH_2001	TH	DENV2	AsianI	2001	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GU131947	DENV2_GU131947_AsianAmerican_CO_2007	CO	DENV2	AsianAmerican	2007	COL	Americas	Colombia	Latin America and the Caribbean	Americas	South America	Developing	South America
HQ332188	DENV2_HQ332188_AsianAmerican_VE_2007	VE	DENV2	AsianAmerican	2007	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ410228	DENV2_FJ410228_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JX966379	DENV2_JX966379_American_MX_1994	MX	DENV2	American	1994	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ744741	DENV2_FJ744741_AsianAmerican_NI_2006	NI	DENV2	AsianAmerican	2006	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
KF360005	DENV2_KF360005_Cosmopolitan_PK_2010	PK	DENV2	Cosmopolitan	2010	PAK	Asia	Pakistan	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
FJ850088	DENV2_FJ850088_AsianAmerican_BR_2006	BR	DENV2	AsianAmerican	2006	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482659	DENV2_EU482659_Asian_I_VN_2006	VN	DENV2	AsianI	2006	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ850106	DENV2_FJ850106_AsianAmerican_VE_2008	VE	DENV2	AsianAmerican	2008	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
EF105379	DENV2_EF105379_Sylvatic_MY_1970	MY	DENV2	Sylvatic	1970	MYS	Asia	Malaysia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF169680	DENV2_AF169680_Asian_I_TH_1993	TH	DENV2	AsianI	1993	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JF730049	DENV2_JF730049_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482561	DENV2_EU482561_AsianAmerican_PR_1996	PR	DENV2	AsianAmerican	1996	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU482656	DENV2_EU482656_Asian_I_VN_2006	VN	DENV2	AsianI	2006	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JN819418	DENV2_JN819418_AsianAmerican_VN_1988	VN	DENV2	AsianAmerican	1988	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ744724	DENV2_FJ744724_Asian_I_TH_2001	TH	DENV2	AsianI	2001	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
DQ645550	DENV2_DQ645550_Cosmopolitan_TW_2002	TW	DENV2	Cosmopolitan	2002	TWN	Asia	Republic of China	Eastern Asia	Asia	Eastern Asia		Eastern Asia
FJ562098	DENV2_FJ562098_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JN851121	DENV2_JN851121_Cosmopolitan_SG_2008	SG	DENV2	Cosmopolitan	2008	SGP	Asia	Singapore	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JN851131	DENV2_JN851131_Cosmopolitan_SG_2005	SG	DENV2	Cosmopolitan	2005	SGP	Asia	Singapore	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482554	DENV2_EU482554_AsianAmerican_PR_1998	PR	DENV2	AsianAmerican	1998	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
KJ189309	DENV2_KJ189309_AsianAmerican_MX_2010	MX	DENV2	AsianAmerican	2010	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
AB189123	DENV2_AB189123_Cosmopolitan_ID_1998	ID	DENV2	Cosmopolitan	1998	IDN	Asia	Indonesia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF022434	DENV2_AF022434_Asian_I_TH_1993	TH	DENV2	AsianI	1993	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ868515	DENV2_GQ868515_AsianAmerican_MX_2007	MX	DENV2	AsianAmerican	2007	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
KJ010185	DENV2_KJ010185_Cosmopolitan_PK_2011	PK	DENV2	Cosmopolitan	2011	PAK	Asia	Pakistan	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
FM210213	DENV2_FM210213_AsianAmerican_VN_2005	VN	DENV2	AsianAmerican	2005	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ687442	DENV2_FJ687442_Asian_I_TH_2001	TH	DENV2	AsianI	2001	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF169679	DENV2_AF169679_Asian_I_TH_1993	TH	DENV2	AsianI	1993	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
HM181971	DENV2_HM181971_AsianAmerican_BR_2008	BR	DENV2	AsianAmerican	2008	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
AF119661	DENV2_AF119661_American_CN_1985	CN	DENV2	American	1985	CHN	Asia	China	Eastern Asia	Asia	Eastern Asia	Developing	Eastern Asia
EF105380	DENV2_EF105380_Sylvatic_CI_1980	CI	DENV2	Sylvatic	1980	CIV	Africa	Côte d’Ivoire	Sub-Saharan Africa	Africa	Western Africa	Developing	Africa
EU677144	DENV2_EU677144_AsianAmerican_PR_1999	PR	DENV2	AsianAmerican	1999	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
GQ398257	DENV2_GQ398257_American_ID_1977	ID	DENV2	American	1977	IDN	Asia	Indonesia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ410195	DENV2_FJ410195_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JQ955623	DENV2_JQ955623_Cosmopolitan_IN_2009	IN	DENV2	Cosmopolitan	2009	IND	Asia	India	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
EF105384	DENV2_EF105384_Sylvatic_SN_1970	SN	DENV2	Sylvatic	1970	SEN	Africa	Senegal	Sub-Saharan Africa	Africa	Western Africa	Developing	Africa
GQ199890	DENV2_GQ199890_AsianAmerican_BR_2008	BR	DENV2	AsianAmerican	2008	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
KF955402	DENV2_KF955402_Asian_I_KH_2008	KH	DENV2	AsianI	2008	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ868544	DENV2_GQ868544_Asian_I_TH_1996	TH	DENV2	AsianI	1996	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU569719	DENV2_EU569719_AsianAmerican_PR_1997	PR	DENV2	AsianAmerican	1997	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU482576	DENV2_EU482576_AsianAmerican_PR_1987	PR	DENV2	AsianAmerican	1987	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU482587	DENV2_EU482587_AsianAmerican_PR_1990	PR	DENV2	AsianAmerican	1990	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
AY702039	DENV2_AY702039_AsianAmerican_CU_1997	CU	DENV2	AsianAmerican	1997	CUB	Americas	Cuba	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
GQ398308	DENV2_GQ398308_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU482634	DENV2_EU482634_AsianAmerican_NI_2006	NI	DENV2	AsianAmerican	2006	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
EU482676	DENV2_EU482676_Asian_I_VN_2006	VN	DENV2	AsianI	2006	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF100464	DENV2_AF100464_Asian_I_TH_1996	TH	DENV2	AsianI	1996	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU081180	DENV2_EU081180_Cosmopolitan_SG_2005	SG	DENV2	Cosmopolitan	2005	SGP	Asia	Singapore	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ410217	DENV2_FJ410217_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JX567950	DENV2_JX567950_AsianAmerican_BR_2008	BR	DENV2	AsianAmerican	2008	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
FM210206	DENV2_FM210206_Asian_I_VN_2005	VN	DENV2	AsianI	2005	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
KF704355	DENV2_KF704355_Asian_II_CU_1981	CU	DENV2	AsianII	1981	CUB	Americas	Cuba	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
M84727	DENV2_M84727__Asian_I_TH_1984	TH	DENV2	AsianI	1984	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
KJ734727	DENV2_KJ734727_Asian_II_TW_2014	TW	DENV2	AsianII	2014	TWN	Asia	Republic of China	Eastern Asia	Asia	Eastern Asia		Eastern Asia
EU179858	DENV2_EU179858_Cosmopolitan_BN_2005	BN	DENV2	Cosmopolitan	2005	BRN	Asia	Brunei Darussalam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JX669488	DENV2_JX669488_AsianAmerican_BR_2002	BR	DENV2	AsianAmerican	2002	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ639733	DENV2_FJ639733_AsianAmerican_VE_2005	VE	DENV2	AsianAmerican	2005	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482590	DENV2_EU482590_AsianAmerican_PR_1990	PR	DENV2	AsianAmerican	1990	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
JX669478	DENV2_JX669478_AsianAmerican_BR_2010	BR	DENV2	AsianAmerican	2010	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
AF100467	DENV2_AF100467_American_PE_1995	PE	DENV2	American	1995	PER	Americas	Peru	Latin America and the Caribbean	Americas	South America	Developing	South America
JQ922552	DENV2_JQ922552_American_IN_1960	IN	DENV2	American	1960	IND	Asia	India	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
KF041236	DENV2_KF041236_Cosmopolitan_PK_2008	PK	DENV2	Cosmopolitan	2008	PAK	Asia	Pakistan	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
GQ199898	DENV2_GQ199898_AsianAmerican_NI_2001	NI	DENV2	AsianAmerican	2001	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ410221	DENV2_FJ410221_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482639	DENV2_EU482639_AsianAmerican_NI_2006	NI	DENV2	AsianAmerican	2006	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
EU482474	DENV2_EU482474_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU596490	DENV2_EU596490_AsianAmerican_PR_2007	PR	DENV2	AsianAmerican	2007	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU596489	DENV2_EU596489_AsianAmerican_PR_2007	PR	DENV2	AsianAmerican	2007	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
GQ398297	DENV2_GQ398297_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
