node	Loc	RTK70R
node_100	Central Africa	sensitive
node_107	Central Africa	sensitive
node_113	Central Africa	sensitive
KX907399	East Africa	sensitive
GQ398837	Europe	sensitive
node_123	South Africa	sensitive
node_124	South Africa	sensitive
node_126	Central Africa	sensitive
node_127	Central Africa	sensitive
node_127	South Africa	
EU251726	East Africa	sensitive
node_131	Central Africa	sensitive
GQ399715	Europe	sensitive
node_180	South Africa	sensitive
node_184	Europe	resistant
node_185	South Africa	sensitive
HM119649	Central Africa	sensitive
HM119732	Central Africa	sensitive
AM071448	Southern Africa ex SA	sensitive
node_193	South Africa	sensitive
node_196	Central Africa	sensitive
node_197	Central Africa	sensitive
node_213	Central Africa	sensitive
node_648	Central Africa	sensitive
node_689	Central Africa	sensitive
node_700	Central Africa	sensitive
node_703	Central Africa	sensitive
node_704	Central Africa	sensitive
node_704	Southern Africa ex SA	
KM049902	Central Africa	sensitive
node_706	Central Africa	sensitive
HM119705	Central Africa	sensitive
node_712	Central Africa	sensitive
GQ400526	Europe	sensitive
node_716	Central Africa	sensitive
KX907398	East Africa	sensitive
node_720	East Africa	sensitive
node_1876	Central Africa	sensitive
node_3602	Central Africa	sensitive
HM119930	Central Africa	sensitive
HM120002	Central Africa	sensitive
HM119797	Central Africa	sensitive
node_47	Central Africa	sensitive
node_64	Central Africa	sensitive
node_65	Central Africa	sensitive
node_71	Central Africa	sensitive
node_73	Central Africa	sensitive
node_94	Central Africa	sensitive
node_96	Central Africa	sensitive
node_98	South Africa	resistant
node_99	Central Africa	sensitive
node_104	Central Africa	sensitive
node_106	Central Africa	sensitive
HM120100	Central Africa	sensitive
node_112	Central Africa	sensitive
EF602202	South Africa	sensitive
EF602228	South Africa	sensitive
EF602182	South Africa	sensitive
EU244678	South Africa	sensitive
HM119725	Central Africa	sensitive
HM120012	Central Africa	sensitive
GU253405	South Africa	sensitive
AM071428	Southern Africa ex SA	sensitive
HM120087	Central Africa	sensitive
node_130	Central Africa	sensitive
node_134	South Africa	sensitive
node_179	South Africa	sensitive
GU271172	Europe	resistant
GU271173	Europe	resistant
EF602236	South Africa	sensitive
EF602238	South Africa	sensitive
FJ199671	South Africa	sensitive
node_192	South Africa	sensitive
EU293450	South Africa	sensitive
node_195	Central Africa	sensitive
HM119735	Central Africa	sensitive
AM071424	Southern Africa ex SA	sensitive
node_205	Central Africa	sensitive
node_212	Central Africa	sensitive
node_240	Central Africa	sensitive
node_647	Central Africa	sensitive
node_679	Central Africa	sensitive
node_688	Central Africa	sensitive
HM119978	Central Africa	sensitive
node_699	Central Africa	sensitive
AF338990	Europe	sensitive
KM050217	Central Africa	sensitive
GQ999981	South Africa	sensitive
GU199552	Southern Africa ex SA	sensitive
HM119626	Central Africa	sensitive
KM050539	Central Africa	sensitive
KM050076	Central Africa	sensitive
node_711	Southern Africa ex SA	sensitive
node_714	Central Africa	sensitive
node_715	Central Africa	sensitive
node_715	South Africa	
KX907415	East Africa	sensitive
node_719	East Africa	sensitive
node_727	Central Africa	sensitive
node_1875	Central Africa	sensitive
node_2127	Central Africa	sensitive
node_3601	Central Africa	sensitive
KM050687	Central Africa	sensitive
node_46	Central Africa	sensitive
node_62	Central Africa	sensitive
node_63	Central Africa	sensitive
KC156213	Southern Africa ex SA	sensitive
AB254142	Central Africa	sensitive
node_68	Central Africa	sensitive
node_70	Central Africa	sensitive
KM049990	Central Africa	sensitive
node_72	Central Africa	sensitive
KM050711	Central Africa	sensitive
node_93	Central Africa	sensitive
GQ433861	Central Africa	sensitive
node_95	Central Africa	sensitive
AY589932	South Africa	resistant
AY589931	South Africa	resistant
KM050144	Central Africa	sensitive
KM050145	Central Africa	sensitive
EU293449	South Africa	sensitive
GU199551	Southern Africa ex SA	sensitive
GQ399932	Europe	sensitive
node_105	Central Africa	sensitive
node_110	Central Africa	sensitive
node_111	Central Africa	sensitive
HM119781	Central Africa	sensitive
HM120010	Central Africa	sensitive
AM071415	Southern Africa ex SA	sensitive
node_133	South Africa	sensitive
node_167	South Africa	sensitive
node_178	South Africa	sensitive
FJ199668	South Africa	sensitive
DQ369986	South Africa	sensitive
GU199560	Southern Africa ex SA	sensitive
HM120121	Central Africa	sensitive
HM120007	Central Africa	sensitive
node_204	Central Africa	sensitive
node_210	Central Africa	sensitive
node_211	Europe	sensitive
GQ427113	Central Africa	sensitive
node_239	Central Africa	sensitive
node_642	Central Africa	sensitive
node_646	Central Africa	sensitive
node_650	Central Africa	sensitive
node_678	Central Africa	sensitive
node_684	Central Africa	sensitive
node_687	Central Africa	sensitive
node_695	Central Africa	sensitive
node_698	Central Africa	sensitive
AF443084	Southern Africa ex SA	sensitive
node_710	Southern Africa ex SA	sensitive
KM050266	Central Africa	sensitive
GQ433877	Central Africa	sensitive
EF602177	South Africa	sensitive
DQ164118	South Africa	sensitive
KX907425	East Africa	sensitive
KX907400	East Africa	sensitive
node_722	Central Africa	sensitive
node_726	Central Africa	sensitive
node_780	Central Africa	sensitive
node_1874	Central Africa	sensitive
node_2111	Central Africa	sensitive
node_2126	Central Africa	sensitive
node_2977	Central Africa	sensitive
node_3600	East Africa	sensitive
HM120094	Central Africa	sensitive
node_45	Central Africa	sensitive
node_45	Europe	
KM050079	Central Africa	sensitive
HM119970	Central Africa	sensitive
GQ433803	Central Africa	sensitive
GQ433875	Central Africa	sensitive
KM050723	Central Africa	sensitive
GQ433853	Central Africa	sensitive
HM120150	Central Africa	sensitive
node_69	Central Africa	sensitive
HM119624	Central Africa	sensitive
HM120063	Central Africa	sensitive
AF443101	Southern Africa ex SA	sensitive
node_92	Central Africa	sensitive
KM050408	Central Africa	sensitive
HM119728	Central Africa	sensitive
JF683770	Europe	sensitive
HM119634	Central Africa	sensitive
node_108	Central Africa	sensitive
node_109	Central Africa	sensitive
HM120069	Central Africa	sensitive
EU244676	South Africa	sensitive
EF602210	South Africa	sensitive
EF602248	South Africa	sensitive
node_165	South Africa	sensitive
node_166	South Africa	sensitive
HM119681	Central Africa	sensitive
node_177	South Africa	sensitive
AY158534	South Africa	sensitive
KM049992	Central Africa	sensitive
KM050176	Central Africa	sensitive
node_209	Central America	sensitive
HM102330	Europe	sensitive
HM102332	Europe	sensitive
node_231	Central Africa	sensitive
node_238	Central Africa	sensitive
node_640	Central Africa	sensitive
node_641	Central Africa	sensitive
KM050119	Central Africa	sensitive
node_645	Central Africa	sensitive
KM050671	Central Africa	sensitive
KM050020	Central Africa	sensitive
node_673	Central Africa	sensitive
node_677	Central Africa	sensitive
KM050638	Central Africa	sensitive
node_683	Central Africa	sensitive
node_683	South Africa	
node_683	West Africa	
EF602585	Southern Africa ex SA	sensitive
node_686	Central Africa	sensitive
node_690	Central Africa	sensitive
node_694	East Africa	sensitive
HM119777	Central Africa	sensitive
node_697	Central Africa	sensitive
KY658704	Southern Africa ex SA	sensitive
AF443099	Southern Africa ex SA	sensitive
KM050394	Central Africa	sensitive
KM050468	Central Africa	sensitive
node_723	Central Africa	sensitive
node_725	Central Africa	sensitive
node_758	Central Africa	sensitive
node_779	Central Africa	sensitive
node_1845	Central Africa	sensitive
node_1873	Central Africa	sensitive
node_1935	Central Africa	sensitive
node_2110	Central Africa	sensitive
node_2113	Southern Africa ex SA	sensitive
node_2125	Central Africa	sensitive
node_2270	Central Africa	sensitive
node_2976	Central Africa	sensitive
node_2985	East Africa	sensitive
node_3599	East Africa	sensitive
KX907374	East Africa	sensitive
HM191557	Europe	sensitive
KM050304	Central Africa	sensitive
KM050305	Central Africa	sensitive
node_90	Central Africa	sensitive
node_91	Central Africa	sensitive
AB285803	Horn of Africa	sensitive
HM119630	Central Africa	sensitive
KM050527	Central Africa	sensitive
KM050526	Central Africa	sensitive
KC156116	South Africa	sensitive
node_164	Southern Africa ex SA	sensitive
GQ999976	South Africa	sensitive
AY878060	South Africa	sensitive
node_173	South Africa	sensitive
node_176	South Africa	sensitive
node_207	Central America	sensitive
node_208	Central America	sensitive
node_216	Central Africa	sensitive
node_230	Central Africa	sensitive
node_233	Central Africa	sensitive
node_237	Central Africa	sensitive
node_635	Central Africa	sensitive
node_639	Central Africa	sensitive
HM119806	Central Africa	sensitive
AY589891	South Africa	resistant
HM120137	Central Africa	sensitive
node_644	Central Africa	sensitive
node_654	Central Africa	sensitive
node_672	Central Africa	sensitive
GQ433829	Central Africa	sensitive
node_676	Central Africa	sensitive
FN599773	West Africa	sensitive
node_682	South Africa	sensitive
HM119621	Central Africa	sensitive
node_685	Central Africa	sensitive
HM119957	Central Africa	sensitive
AF443081	Southern Africa ex SA	sensitive
node_691	East Africa	sensitive
node_693	East Africa	sensitive
HM119972	Central Africa	sensitive
node_696	Central Africa	sensitive
GQ433882	Central Africa	sensitive
GQ433883	Central Africa	sensitive
GQ427137	Central Africa	sensitive
node_724	Central Africa	sensitive
node_731	Central Africa	sensitive
node_757	Central Africa	sensitive
node_776	Central Africa	sensitive
node_778	Central Africa	sensitive
GU199580	Southern Africa ex SA	sensitive
node_1844	Central Africa	sensitive
KM050653	Central Africa	sensitive
node_1872	Central Africa	sensitive
node_1919	Central Africa	sensitive
node_1934	Central Africa	sensitive
node_1991	Central Africa	sensitive
node_2109	Central Africa	sensitive
GU199556	Southern Africa ex SA	sensitive
node_2112	Southern Africa ex SA	sensitive
AF286223	Asia	sensitive
node_2124	Central Africa	sensitive
node_2264	Central Africa	sensitive
node_2269	Central Africa	sensitive
node_2269	Europe	
node_2952	Central Africa	sensitive
node_2975	Central Africa	sensitive
KM050441	Central Africa	sensitive
node_2984	East Africa	sensitive
node_3337	East Africa	sensitive
node_3598	South America	sensitive
AY589928	South Africa	sensitive
node_89	Central Africa	sensitive
KM050668	Central Africa	sensitive
KM049963	Central Africa	sensitive
AY829305	Southern Africa ex SA	sensitive
node_163	Southern Africa ex SA	sensitive
node_168	South Africa	sensitive
node_172	South Africa	sensitive
node_174	South Africa	sensitive
node_175	South Africa	sensitive
DQ112972	Central America	sensitive
node_206	Central America	sensitive
DQ113317	Central America	sensitive
DQ113130	Central America	sensitive
GQ433838	Central Africa	sensitive
node_215	Central Africa	sensitive
node_221	Central Africa	sensitive
node_221	South Africa	
node_229	Central Africa	sensitive
KM049919	Central Africa	sensitive
node_232	Central Africa	sensitive
GU324879	Europe	sensitive
node_236	Central Africa	sensitive
HM120006	Central Africa	sensitive
node_634	Asia	sensitive
HM119676	Central Africa	sensitive
node_638	Central Africa	sensitive
HM119623	Central Africa	sensitive
node_643	Central Africa	sensitive
KM050564	Central Africa	sensitive
node_653	Central Africa	sensitive
node_663	Europe	sensitive
node_671	Central Africa	sensitive
node_674	Central Africa	sensitive
node_675	Central Africa	sensitive
AY589885	South Africa	sensitive
node_681	South Africa	sensitive
KM050256	Central Africa	sensitive
HM119666	Central Africa	sensitive
AF286235	East Africa	sensitive
AF361874	East Africa	sensitive
KX907338	East Africa	sensitive
node_692	East Africa	sensitive
KM050228	Central Africa	sensitive
GQ433870	Central Africa	sensitive
HM119821	Central Africa	sensitive
GQ427131	Central Africa	sensitive
HM119612	Central Africa	sensitive
node_730	Central Africa	sensitive
node_736	Central Africa	sensitive
node_756	Central Africa	sensitive
node_759	Central Africa	sensitive
node_775	Central Africa	sensitive
AF411966	South Africa	sensitive
node_777	Central Africa	sensitive
node_1616	Central Africa	sensitive
node_1843	Central Africa	sensitive
node_1856	Central Africa	sensitive
node_1871	Central Africa	sensitive
node_1916	Central Africa	sensitive
node_1918	Central Africa	sensitive
node_1921	Central Africa	sensitive
node_1933	Central Africa	sensitive
node_1946	Central Africa	sensitive
node_1990	Central Africa	sensitive
node_2092	Central Africa	sensitive
node_2108	Central Africa	sensitive
AY136972	South Africa	sensitive
GU199555	Southern Africa ex SA	sensitive
KM050742	Central Africa	sensitive
node_2123	Central Africa	sensitive
node_2248	Central Africa	sensitive
node_2263	Central Africa	sensitive
DQ877827	Europe	sensitive
node_2268	Central Africa	sensitive
node_2268	Europe	
node_2305	Central Africa	sensitive
node_2951	Central Africa	sensitive
node_2966	Central Africa	sensitive
node_2974	Central Africa	sensitive
node_2982	East Africa	sensitive
node_2983	East Africa	sensitive
AM260237	East Africa	sensitive
node_3336	East Africa	sensitive
DQ518479	South America	sensitive
node_3597	South America	sensitive
KM049946	Central Africa	sensitive
node_88	Central Africa	sensitive
AF443078	Southern Africa ex SA	sensitive
node_162	Southern Africa ex SA	sensitive
DQ093605	South Africa	sensitive
GU199565	Southern Africa ex SA	sensitive
node_170	South Africa	sensitive
node_171	South Africa	sensitive
EF602209	South Africa	sensitive
EF602213	South Africa	sensitive
AY589890	South Africa	sensitive
FJ199757	South Africa	sensitive
DQ113384	Central America	sensitive
DQ112986	Central America	resistant
FJ445713	Southern Africa ex SA	sensitive
node_214	Central Africa	sensitive
node_217	Central Africa	sensitive
node_217	East Africa	
node_217	South Africa	
node_217	Southern Africa ex SA	
node_220	South Africa	sensitive
HM119692	Central Africa	sensitive
node_228	Central Africa	sensitive
HM119999	Central Africa	sensitive
HM119873	Central Africa	sensitive
KX907337	East Africa	sensitive
node_235	Central Africa	sensitive
node_630	Asia	sensitive
node_633	Asia	sensitive
KM050637	Central Africa	sensitive
node_637	Central Africa	sensitive
HM119831	Central Africa	sensitive
HM119860	Central Africa	sensitive
node_651	Europe	sensitive
node_652	Central Africa	sensitive
node_657	Europe	sensitive
node_662	Europe	sensitive
node_668	Central Africa	sensitive
node_670	Central Africa	sensitive
KM049973	Central Africa	sensitive
KM050199	Central Africa	sensitive
KM050230	Central Africa	sensitive
HM119645	Central Africa	sensitive
AY589905	South Africa	sensitive
node_680	South Africa	sensitive
AY253320	East Africa	sensitive
HM572411	East Africa	sensitive
KM049911	Central Africa	sensitive
node_729	Central Africa	sensitive
node_733	Central Africa	sensitive
node_733	South Africa	
node_735	Central Africa	sensitive
node_741	Central Africa	sensitive
node_755	Central Africa	sensitive
HM119633	Central Africa	sensitive
JN687629	South Africa	sensitive
node_763	Central Africa	sensitive
node_774	Central Africa	sensitive
HM119939	Central Africa	sensitive
HM119800	Central Africa	sensitive
node_1593	Central Africa	sensitive
node_1615	Central Africa	sensitive
node_1802	Central Africa	sensitive
node_1842	Central Africa	sensitive
node_1848	Central Africa	sensitive
node_1855	Central Africa	sensitive
node_1869	Central Africa	sensitive
node_1870	Central Africa	sensitive
node_1899	Central Africa	sensitive
node_1915	Central Africa	sensitive
KM049904	Central Africa	sensitive
node_1917	Central Africa	sensitive
node_1917	Southern Africa ex SA	
EF602193	South Africa	sensitive
node_1920	Central Africa	sensitive
node_1927	Central Africa	sensitive
node_1932	Central Africa	sensitive
node_1939	Central Africa	sensitive
node_1945	Central Africa	sensitive
node_1970	Central Africa	sensitive
node_1970	Europe	
node_1970	Southern Africa ex SA	
node_1989	Central Africa	sensitive
node_2030	Central Africa	sensitive
node_2091	Central Africa	sensitive
node_2104	Central Africa	sensitive
node_2107	Central Africa	sensitive
node_2118	Central Africa	sensitive
node_2122	Central Africa	sensitive
HM119805	Central Africa	sensitive
node_2247	Central Africa	sensitive
node_2260	Central Africa	sensitive
node_2262	Central Africa	sensitive
KX907424	East Africa	sensitive
node_2267	Europe	sensitive
HM119836	Central Africa	sensitive
node_2304	Central Africa	sensitive
node_2306	Central Africa	sensitive
node_2950	Central Africa	sensitive
node_2964	Central Africa	sensitive
node_2965	Central Africa	sensitive
node_2971	Central Africa	sensitive
node_2973	Southern Africa ex SA	sensitive
AM260292	East Africa	sensitive
node_2981	East Africa	sensitive
HM164129	East Africa	sensitive
AM260264	East Africa	sensitive
node_3333	East Africa	sensitive
node_3335	East Africa	sensitive
GQ862311	South America	sensitive
node_3596	South America	sensitive
node_86	Central Africa	sensitive
node_86	South Africa	
node_86	Southern Africa ex SA	
node_87	Central Africa	sensitive
FJ199732	South Africa	sensitive
node_161	Southern Africa ex SA	sensitive
GQ433828	Central Africa	sensitive
node_169	South Africa	sensitive
EF602192	South Africa	sensitive
GU326122	Europe	sensitive
HM119657	Central Africa	sensitive
HM119875	Central Africa	sensitive
GU199557	Southern Africa ex SA	sensitive
HM572406	East Africa	sensitive
FJ199537	South Africa	sensitive
node_219	South Africa	sensitive
node_226	Central Africa	sensitive
node_227	Central Africa	sensitive
HM119706	Central Africa	sensitive
node_234	Central Africa	sensitive
node_627	Asia	sensitive
node_629	Asia	sensitive
EU030417	Asia	sensitive
node_632	Asia	sensitive
HM119945	Central Africa	sensitive
node_636	Central Africa	sensitive
KT124786	Europe	sensitive
GQ400428	Europe	sensitive
KM050060	Central Africa	sensitive
KM050059	Central Africa	sensitive
HM191540	Europe	sensitive
node_656	Europe	sensitive
node_658	Europe	sensitive
node_661	Europe	sensitive
node_666	Central Africa	sensitive
node_667	Central Africa	sensitive
node_667	South Africa	
EF602610	Southern Africa ex SA	sensitive
node_669	Central Africa	sensitive
GU253409	South Africa	sensitive
GU253410	South Africa	sensitive
DQ011173	South Africa	sensitive
node_728	Central Africa	sensitive
node_728	Southern Africa ex SA	
GU253402	South Africa	sensitive
node_732	South Africa	sensitive
HM119766	Central Africa	sensitive
node_734	Central Africa	sensitive
GQ427119	Central Africa	sensitive
node_740	Central Africa	sensitive
node_744	Central Africa	sensitive
node_754	Central Africa	sensitive
KM050410	Central Africa	sensitive
node_762	Central Africa	sensitive
node_770	Central Africa	sensitive
node_773	Central Africa	sensitive
node_1200	Central Africa	sensitive
node_1592	Central Africa	sensitive
GQ427116	Central Africa	sensitive
node_1614	Central Africa	sensitive
node_1784	Central Africa	sensitive
node_1801	Central Africa	sensitive
EU244680	South Africa	sensitive
node_1841	Central Africa	sensitive
node_1846	Central Africa	sensitive
node_1847	Central Africa	sensitive
HM119763	Central Africa	sensitive
node_1854	Central Africa	sensitive
node_1865	Central Africa	sensitive
node_1868	Central Africa	sensitive
GQ999979	South Africa	sensitive
GQ399507	Europe	sensitive
node_1891	Central Africa	sensitive
node_1898	Central Africa	sensitive
node_1905	Central Africa	sensitive
node_1914	Central Africa	sensitive
AM071442	Southern Africa ex SA	sensitive
AM071454	Southern Africa ex SA	sensitive
GQ427122	Central Africa	sensitive
AY756871	Southern Africa ex SA	sensitive
KM050075	Central Africa	sensitive
node_1926	Central Africa	sensitive
node_1929	Central Africa	sensitive
node_1931	Central Africa	sensitive
node_1937	Central Africa	sensitive
node_1938	Central Africa	sensitive
node_1943	Central Africa	sensitive
node_1944	Central Africa	sensitive
node_1944	Southern Africa ex SA	
node_1948	Central Africa	sensitive
node_1948	Europe	
node_1948	Southern Africa ex SA	
node_1969	Europe	sensitive
node_1986	Central Africa	sensitive
node_1988	Central Africa	sensitive
node_2013	Central Africa	sensitive
node_2029	Central Africa	sensitive
node_2067	Central Africa	sensitive
node_2090	Central Africa	sensitive
HM119750	Central Africa	sensitive
node_2103	Central Africa	sensitive
KM050006	Central Africa	sensitive
node_2106	Southern Africa ex SA	sensitive
KM050023	Central Africa	sensitive
node_2117	Central Africa	sensitive
KM050360	Central Africa	sensitive
node_2121	Central Africa	sensitive
node_2197	Central Africa	sensitive
node_2246	Central Africa	sensitive
node_2250	Europe	sensitive
node_2259	Central Africa	sensitive
AY435293	East Africa	sensitive
node_2261	Central Africa	sensitive
DQ878534	Europe	sensitive
node_2266	Europe	sensitive
node_2286	Central Africa	sensitive
node_2303	Central Africa	sensitive
KM050226	Central Africa	sensitive
EF602201	South Africa	sensitive
node_2320	Central Africa	sensitive
node_2949	Central Africa	sensitive
node_2955	Central Africa	sensitive
node_2963	Central Africa	sensitive
KM050705	Central Africa	sensitive
KM050326	Central Africa	sensitive
KM050636	Central Africa	sensitive
node_2970	Central Africa	sensitive
AY829312	Southern Africa ex SA	sensitive
node_2972	Southern Africa ex SA	sensitive
node_2979	East Africa	sensitive
node_2979	Europe	
node_2980	East Africa	sensitive
node_3108	East Africa	sensitive
node_3332	East Africa	sensitive
AM260293	East Africa	sensitive
node_3334	East Africa	sensitive
node_3344	South America	sensitive
node_3595	South America	sensitive
node_79	South Africa	sensitive
node_85	Southern Africa ex SA	sensitive
FJ496209	Central Africa	sensitive
FJ496214	Central Africa	sensitive
node_158	Southern Africa ex SA	sensitive
node_160	Southern Africa ex SA	sensitive
DQ275655	South Africa	sensitive
AF443115	Southern Africa ex SA	sensitive
AY136983	South Africa	sensitive
node_218	South Africa	sensitive
KM050072	Central Africa	sensitive
node_225	Central Africa	sensitive
HM120083	Central Africa	sensitive
AF443075	Southern Africa ex SA	sensitive
HE588162	West Africa	sensitive
HM120058	Central Africa	sensitive
EU110054	Asia	sensitive
node_626	Asia	sensitive
HQ456672	Asia	sensitive
node_628	Asia	sensitive
AY789995	Horn of Africa	sensitive
node_631	Asia	sensitive
KM049903	Central Africa	sensitive
HM119991	Central Africa	sensitive
HM191543	Europe	sensitive
node_655	Europe	sensitive
HM191549	Europe	sensitive
HM191551	Europe	sensitive
HM191550	Europe	sensitive
node_660	Europe	sensitive
KM050279	Central Africa	sensitive
node_665	Central Africa	sensitive
AY589907	South Africa	sensitive
AM071445	Southern Africa ex SA	sensitive
AY734556	East Africa	sensitive
KM050400	Central Africa	sensitive
KY112254	Southern Africa ex SA	sensitive
KC156119	Southern Africa ex SA	sensitive
EU854543	South Africa	sensitive
EU854545	South Africa	sensitive
KM050125	Central Africa	sensitive
HM119958	Central Africa	sensitive
HM119620	Central Africa	sensitive
node_739	Central Africa	sensitive
HM119865	Central Africa	sensitive
node_743	Central Africa	sensitive
AY102507	Horn of Africa	sensitive
node_753	Central Africa	sensitive
HM119715	Central Africa	sensitive
node_761	Central Africa	sensitive
